,Username,location,date,content,Rating
27,King Curry,GB,"Mar 7, 2022","At the age of 66At the age of 66, my son finally persuaded me to try a Coke.I can only say that, if it was a choice between drinking another Coke or eating the contents of an overflowing dog waste bin, I'd have to think seriously.Coke is one of the most disgusting things I've ever consumed.Date of experience: March 07, 2022",1
28,Kathy Campbell,US,"Jul 20, 2024","Gold Peak 16.9 fl 0z bottlesGold Peak 16.9 fl 0z bottles. The lids are just about impossible to get open. Customer service is useless on a Saturday. I typed a long email this morning and it would not submit. ""Oops something went wrong, try again later."" I bookmarked the page to try again on Monday. I tried chat but they are only available M-F. The zero sugar tea made me ill with intestinal issues. I have 3 of those bottles left and am afraid to drink them if I would even attempt to open them. I have kitchen gadgets to open plastic bottles but even those are struggling. A senior citizen with arthritis should not have to fight a plastic bottle lid!Date of experience: July 20, 2024",1
29,DENNIS MUSYOKI,KE,"Oct 6, 2024","I just want to say thanks I just want to say thanks Coca cola has ever been my best drink so far I can encourage you never change the recipe and the test thanks alot keep it upDate of experience: September 04, 2024",1
30,Vicki,GB,"Oct 5, 2023","Ordered personalised glass bottles on…Ordered personalised glass bottles on 13th September. Website says a turnaround of 5-6 days. Gave it a bit longer due to delays with mail of late and contacted over weekend as birthday is this Friday. Been getting the run around over last few days. Starting to wonder if this is a scam!!Date of experience: October 02, 2023",1
31,Shannon,GB,"Aug 17, 2023","Thanks for adding attachments to the…Thanks for adding attachments to the lids of your bottles, making it harder for disabled people to close the lid properly. I just had someone rip the lid apart so I could close it normally once the lid was separated from that stupid ring piece. :) so your attached lids fail at every turn.Date of experience: August 17, 2023",1
32,Philip Bott,GB,"Jun 20, 2024","Go on, get the top off!Coca Cola make bottled water named Glaceau.I challenge anybody to get the top off the bottle! The retaining band on the cap is thick plastic and will not yield. I had to (dangerously) take a screwdriver to it!Totally negates the convenience label of the product!Date of experience: June 20, 2024",1
33,William Morar,US,"Mar 6, 2023","I absolutely love Coca-ColaI absolutely love Coca-Cola! It always tastes amazing, and I'm never disappointed by anything from this brand. Every time I drink a Coke, it's like tasting happiness. Whether you're having a bottle at home or one from the store, it's sure to be the perfect thirst-quencher for any occasion. Highly recommended!Date of experience: March 06, 2023",5
34,Claris,GB,"Aug 14, 2023","I just want to say thank you for…I just want to say thank you for keeping your original Coca Cola. I love Coca Cola,I tried Pepsi again about a month ago and they have ruined there original recipe.I believe your sales will be going up as looking at Pepsi reviews they losing customers. Please never change the recipe and keep your loyal customers and new ones that leave Pepsi for good.Date of experience: August 14, 2023",5
35,Comfort Suites Lakewood,US,"Feb 14, 2023","Best Coke Tech: Denver Tech FelixWe have Coke Vending machines at our business. We would like to put a review on the Coke Technician in Denver, Mr. Felix. He has been such a great help whenever we needed help. He has timely responded to our concerns whenever we had an issue and has been a great help. This gentleman needs a five star plus review after our experience about his services multiple times now.Date of experience: February 14, 2023",5
36,Shea,US,"Jan 3, 2022","I LOVE COKE it may seem like any other…I LOVE COKE it may seem like any other soda but it is not. When you are sad mad happy tired or anything in between coke IS that answer the second it hits ur taste buds everything is all ok it’s not Pepsi not Dr Pepper ITS COKE nothing can compare and people say “oh it’s soda” “oh it’s pop” NO ITS COKE they are different bc coke is always there when no one else isDate of experience: January 03, 2022",5
37,Daniel Orchard,GB,"May 13, 2023","These new lids being left attached  is…These new lids being left attached  is ridiculous! I love coke but thinking about changing my drink as the lids are a nuisance! “Attached to recycle” I didn’t think about until now but I always leave the lid on when finished the bottle for some reason.. when you leave it attached and try to close it and screw the lid up, I always somehow cross thread it and the drink leaks out. Nightmare if your driving to.. please sort this outDate of experience: May 12, 2023",1
38,Temple Savage,GB,"Dec 8, 2023","I suggest you stop supporting the evil…I suggest you stop supporting the evil that is the Israeli Government, it’s army & the ‘settlers’ or at least p**s in their coke ! Personally I would put something else in itDate of experience: December 08, 2023",1
39,Patrick ,GB,"Mar 7, 2022","Hello HELLO HELLO Coca Cola management…Hello HELLO HELLO Coca Cola management please explain to me this minute why you are still involved in dealing with Russia? Come on get it sorted; do the right thing or we’ll all stop buying your productsDate of experience: March 07, 2022",1
40,Michelle York,US,"Feb 10, 2024","CocaCola does not deserve to have customersCocaCola has changed their beverages to be flat, tasteless cans of sugar water. When I called to complain about it, I was hung up on multiple times by their customer service reps then finally promised a return phone call that day by a ""bottler."" (Evidently they hold the bottlers responsible for their product). A bottler never called me so I called back today and was hung up on numerous times by their ""customer service"" reps. I was told I just have to wait for a phone call. They couldn't give me a time frame on a return call. Their customer service is deplorable. They should not even be in business based on that alone. How dare a company that big be so rude to the people who purchase their products!!!!!!!!!!!!!!!!! I, for one, am done.Date of experience: February 09, 2024",1
41,Fern,US,"Sep 25, 2023","The most recognizable soda in the…The most recognizable soda in the world. Coca Cola is a drink I’ve seen around my entire life, and I truly believe it still dominates the market. There’s nothing better than chowing down a good burger with an ice cold crisp, Coca Cola. The refreshing satisfaction one gets after one sip is always fantastic. Coca Cola, is a company I believe so confident in its product, it doesn’t even need much on its packaging: just that sharp red we all know so well and that familiar font we have all come to memorize. Even the Diet, and Zero editions are great! And you can’t forget about the other flavors Coca Cola has brought to us! This is a drink that I know will live on and one I WILL continue to buy!Date of experience: September 23, 2023",5
42,wasbi,LV,"Feb 15, 2022","This is one of biggest plastic…This is one of biggest plastic polluting companies in the world, and they wont use glass botles because people buy plastic ones and they make more money that way. Also they changed recipe to not use sugar and instead artificial sweetener. Noone knows what health problems this will cause after 20 years. And it was all for profit.This company is a monopoly that should be split up.Date of experience: February 15, 2022",1
43,stephen turner,GB,"Mar 7, 2022","Horrific companyHorrific company, companies like this should be stripped of everything for continuing trade with Russia, Let’s not even talk about what it does to your body. Disgusting,Date of experience: March 07, 2022",1
44,Violetta Serhiienko,GB,"Dec 25, 2023","UnfortunatelyUnfortunately, my experience with Coca-Cola has been disappointing. I found the beverage to have an excessive amount of sugar, making it overly sweet for my taste. Moreover, after consuming this carbonated drink, I feel a sharp need for water due to its excessive sweetness and carbohydrate levels. I prefer beverages with a more balanced composition and lower sugar content.Date of experience: December 07, 2023",1
45,Teana Jones,US,"Oct 22, 2022","Coke substantially became much worse…Coke substantially became much worse product throughout the yearss to the point where I can't drink it. Only mexican coke (because of real sugar) tastes somewhat decent. But corn I can't drink corn syrup one that they make in US nowadays. yuckDate of experience: October 21, 2022",1
46,Lance Sheridan,US,"Jul 29, 2024","Refreshingly good…This review is referring to its primary soft drink, preferably in a glass bottle. Undoubtedly the #1 of its kind on the planet, and not too far behind tea and coffee. To me, their best ever was Cherry Coca-Cola.Date of experience: July 01, 2024",5
47,Leila,GB,"Dec 1, 2023","Coca Cola supports Israel’s ApartheidIsraeli brutality has gone on too long. Palestinians are held under the boot of the Israeli military machine and Coca Cola MUST take a stand against it.Date of experience: December 01, 2023",1
48,Mark Turner,GB,"Apr 11, 2023","New lids are disgracefulNew lids are disgraceful. Leave sharp edges which have cut me on several occasions. Cheapened product production with the excuse that they are thinking of the environment.Date of experience: April 11, 2023",1
49,IonutBogdan,GB,"Nov 15, 2022","To be honest with you guys we can’t be…To be honest with you guys we can’t be hypocrites to don’t admit ,once in a while we have at least a can, the taste it’s incomparable better then other products and also brands.How it’s coming after a beef burger in your Tommy?Date of experience: November 15, 2022",3
50,Subscribe To RevengeBloxYT,US,"Apr 9, 2024","Coco Cola Spiced, something is TERRIBLY wrong with it.I had the new coco cola, Spiced, it tasted good at the start, about an hour went by, I got horrible burns on my lower-body, that, not sure if it was thousands of little hives, I'm a boy and not allergic to ANYTHING! Something is deathly wrong with the soda! (Coco Cola Spiced) I am completely healthy so it has nothing to do with blood sugar.It may of been a HIGHLY unhealthy amount of acid that they put in the drinks.Date of experience: April 09, 2024",2
51,John McGrath,US,"Aug 10, 2024","Sprite CherrySprite Cherry. Not cherry. Not even close. Taste of chemicals. I was expecting Kool Aid flavor, which isn't the best, or Gatorade Frost cherry, which I think has it down. This is yucky.Date of experience: August 10, 2024",1
52,Jilian Reilly,FR,"Mar 9, 2023","I've been trying Coca-Cola and I can…I've been trying Coca-Cola and I can definitely say it tastes great. It has a delicious, refreshing flavor that always satisfies my taste buds. The carbonation is perfect - not too strong to be overwhelming but enough to really give the drink life. Highly recommended!Date of experience: March 09, 2023",4
53,Karina Carrillo,US,"Mar 26, 2024","I enjoyed drinking Coca-ColaI enjoyed drinking Coca-Cola. I love Coca-Cola. I love cherry Coke the best taste way better than Pepsi. I just want to say thank you for you guys. Doing such a wonderful job. I am so blessed by getting a chance to drink Coca-Cola And cherry Coke so thank you so much for always doing it to Job making a better drink than PepsiDate of experience: March 26, 2024",5
54,faith oty,NG,"Oct 6, 2024","Coca Cola products is such an amazing…Coca Cola products is such an amazing product because they product brings refreshment to the soulDate of experience: October 04, 2024",4
